id,dist_name,id(ours),dist_name(ors)
3608,Nalgonda,539,Nalgonda
3609,Warangal,540,Warangal
3610,Khammam,541,Khammam
3701,Srikakulam,542,Srikakulam
3702,Vizianagaram,543,Vizianagaram
3703,Vishakhapatnam,544,Visakhapatnam
3704,East Godavari,545,East Godavari
3705,West Godavari,546,West Godavari
3706,Krishna,547,Krishna
3707,Guntur,548,Guntur
3708,Prakasam,549,Prakasam
3709,Nellore,550,Nellore
3711,Kurnool,552,Kurnool
3712,Anantapuram,553,Anantapur
3713,Chittoor,554,Chittoor
2901,Belagavi,555,Belgaum
2902,Bagalkot,556,Bagalkot 
2218,Bijapur,557,Bijapur
2904,Bidar,558,Bidar
2905,Raichur,559,Raichur
2906,Koppal,560,Koppal
2907,Gadag,561,Gadag
2908,Dharwad,562,Dharwad
2909,Uttara Kannada,563,Uttara Kannada
2910,Haveri,564,Haveri
2911,Bellary,565,Bellary
2912,Chitradurga,566,Chitradurga
2913,Davanagere,567,Davanagere
2914,Shimoga,568,Shimoga
2915,Udupi,569,Udupi
2916,Chikkamagaluru,570,Chikmagalur
2917,Tumkur,571,Tumkur
2918,Bangalore Urban,572,Bangalore
2919,Mandya,573,Mandya
2920,Hassan,574,Hassan
2921,Dakshina Kannada,575,Dakshina Kannada
2922,Kodagu,576,Kodagu
2923,Mysuru,577,Mysore
2924,Chamarajanagar,578,Chamarajanagar
2925,Gulbarga,579,Gulbarga
2926,Yadgir,580,Yadgir
2927,Kolar,581,Kolar
2928,Chikballapur,582,Chikkaballapura
2929,Bangalore Rural,583,Bangalore Rural
2930,Ramanagara,584,Ramanagara
3001,North Goa,585,North Goa
3002,South Goa,586,South Goa
3101,Lakshadweep,587,Lakshadweep
3201,Kasaragod,588,Kasaragod
3202,Kannur,589,Kannur
3203,Wayanad,590,Wayanad
3204,Kozhikode,591,Kozhikode
3205,Malappuram,592,Malappuram
3206,Palakkad,593,Palakkad
3207,Thrissur,594,Thrissur
3208,Ernakulam,595,Ernakulam
3209,Idukki,596,Idukki 
3210,Kottayam,597,Kottayam
3211,Alappuzha,598,Alappuzha
3212,Pathanamthitta,599,Pathanamthitta
3213,Kollam,600,Kollam
3214,Thiruvananthapuram,601,Thiruvananthapuram
3301,Tiruvallur,602,Thiruvallur
3302,Chennai,603,Chennai
3303,Kanchipuram,604,Kancheepuram
3304,Vellore,605,Vellore
3305,Tiruvannamalai,606,Tiruvannamalai
3306,Villupuram,607,Viluppuram
3307,Salem,608,Salem
3308,Namakkal,609,Namakkal   
3309,Erode,610,Erode
3310,Nilgiris,611,The Nilgiris
3311,Dindigul,612,Dindigul
3312,Karur,613,Karur 
3313,Tiruchirappalli,614,Tiruchirappalli
3314,Perambalur,615,Perambalur  
3315,Ariyalur,616,Ariyalur  
3316,Cuddalore,617,Cuddalore
3317,Nagapattinam,618,Nagapattinam  
3318,Thiruvarur,619,Thiruvarur
3319,Thanjavur,620,Thanjavur
3320,Pudukkottai,621,Pudukkottai
3321,Sivaganga,622,Sivaganga
3322,Madurai,623,Madurai
3323,Theni,624,Theni  
3324,Virudhunagar,625,Virudhunagar
3325,Ramanathapuram,626,Ramanathapuram
3326,Thoothukudi,627,Thoothukkudi
3327,Tirunelveli,628,Tirunelveli 
3328,Kanyakumari,629,Kanniyakumari
3329,Dharmapuri,630,Dharmapuri
3330,Krishnagiri,631,Krishnagiri
3331,Coimbatore,632,Coimbatore
3332,Tiruppur,633,Tiruppur
3401,Yanam,634,Yanam
3402,Pondicherry,635,Puducherry
3403,Mahe,636,Mahe
3404,Karaikal,637,Karaikal
3501,Nicobar,638,Nicobars
3502,North and Middle Andaman,639,North  & Middle Andaman
3503,South Andaman,640,South Andaman
